# 
#     Column Definitions:
#     - Total Potential Responses: All survey participants, including those who left the question blank.
#     - Non-empty Responses: All responses that are not null or empty string.
#     - Informative Responses: Responses that are not classified as non-informative (e.g., not "N/A", "No comment", etc.).
#     - Other Responses: Responses that include a write-in for "Other" in multiple-choice questions.
#     - Response: Individual informative responses, with each response on a separate row.
#     
"Question","Institution","Total Potential Responses","Non-empty Responses","Informative Responses","Other Responses","Response"
"Please select the reasons for not visiting the campus food pantry.","Central New Mexico Community College","390","297","297","17","['The location is inconvenient']"
"","","","","","","['The location is inconvenient, Other', 'Other: I did not know there was one ']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, Other students need this help more than I do']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['The location is inconvenient']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""Other students need this help more than I do, I don't want other people to see me and know that I am food insecure""]"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, Other students need this help more than I do']"
"","","","","","","[""Other students need this help more than I do, I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, The items available at the campus food pantry do not align with my dietary needs (vegetarian,  vegan,  halal,  kosher,  etc.), Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['The hours of operation for the campus food pantry do not work for me, Other students need this help more than I do']"
"","","","","","","[""Other students need this help more than I do, I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['The hours of operation for the campus food pantry do not work for me']"
"","","","","","","[""Other students need this help more than I do, I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['The items available at the campus food pantry do not align with my dietary needs (vegetarian,  vegan,  halal,  kosher,  etc.)']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""Other students need this help more than I do, I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['Other', 'Other: The majority of food pantry products are UNhealthy']"
"","","","","","","['Other', 'Other: I might be wrong but it sounded like this was only accessible to students. ']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other', 'Other: I am not a student and I feel this is a student resource.']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, Other students need this help more than I do']"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
