Topic,Count,Name,Representation,Representative_Docs
-1,13,-1_does apply_apply_poorly_expensive does,"['does apply', 'apply', 'poorly', 'expensive does', 'public', 'salary cost', 'does', 'mental', 'expensive price', 'household']","['mental healthmedical condition treated poorly', 'this does not apply to my household', 'does not apply to me']"
0,723,0_food_cost_expensive_time,"['food', 'cost', 'expensive', 'time', 'prices', 'high', 'money', 'costs', 'income', 'work']","['healthy food is expensive healthy food most of the time last less', 'cost of healthy food eggs and milk and time of meal prep for balanced healthy meals vs fast foodunhealthy food', 'eating healthy is expensive while eating high caloric foods is very cheap healthy food usually take more preparation as well while less healthy foods are often quick cheap and easily accessible like in a fast food drive through when there is a time crunch']"
1,32,1_financial_lack money_lack_no money,"['financial', 'lack money', 'lack', 'no money', 'situation', 'money', 'reasons', 'finances', 'people', 'income']","['financial reasons', 'financial situation', 'lack of financial situation and government prolonged']"
2,24,2_money_time money_time_power,"['money', 'time money', 'time', 'power', 'month money', 'always money', 'sometimes just', 'money always', 'education', 'resources']","['money', 'money', 'money']"
3,21,3_laziness_moment_right_pandemic,"['laziness', 'moment', 'right', 'pandemic', 'any', 'home', 'just', '', '', '']","['none at the moment', 'laziness none', 'i do not have any right now i just dodged that bullet after the pandemic started']"
4,19,4_inflation_prices inflation_past year_increased prices,"['inflation', 'prices inflation', 'past year', 'increased prices', 'challenge', 'inflation cost', 'year', 'current', 'right', 'past']","['inflation', 'inflation', 'inflation']"
5,17,5_cost cost_cost_cost distance_costs cost,"['cost cost', 'cost', 'cost distance', 'costs cost', 'distance', 'location', 'times', 'costs', 'price', '']","['cost', 'cost', 'cost']"
6,15,6_expensive expensive_expensive_unavailable_high money,"['expensive expensive', 'expensive', 'unavailable', 'high money', 'affordable expensive', 'money expensive', 'far away', 'price high', 'expensive price', 'little']","['too expensive', 'too damn expensive', 'it is expensive']"
7,14,7_prices price_price_prices_location,"['prices price', 'price', 'prices', 'location', 'salary', 'cost', '', '', '', '']","['price', 'the price', 'price']"
8,11,8_los_no_santa_mortgage,"['los', 'no', 'santa', 'mortgage', 'fe', 'santa fe', 'area', '', '', '']","['el dinero de mi cheque de pago no es suficiente', 'los alimentos estan muy altos en precio una ida al supermercado son mas 300 dolares con lo que se gana no se ouede vivir se necesita tener tres trabajos y nunca se tiene tiempo para estar con los hijos la vida en santa fe es muy cara pienso que el sueldo en el area de custodian es muy bajo deberian cosiderar un aumento', 'por no tener suficiente dinero por lo alto que estã los costos de viles y la comida aveses tambiãn los orarios de trabajo no podemos asistir para obtener alguna ayuda para completar mãs la canasta bãsica']"
9,11,9_obstacles_no obstacles_any obstacles_no,"['obstacles', 'no obstacles', 'any obstacles', 'no', 'any', 'na no', 'ease', 'easy', 'access', 'getting']","['no obstacles', 'no obstacles', 'no obstacles to face']"
10,10,10_high prices_high_prices high_price high,"['high prices', 'high', 'prices high', 'price high', 'prices', 'price', 'expensive high', 'good', 'prices price', 'high cost']","['high prices', 'high prices', 'high prices']"
11,9,11_na_na no_location_no,"['na', 'na no', 'location', 'no', '', '', '', '', '', '']","['na', 'na', 'na']"
12,8,12_availability_expense_time availability_time cost,"['availability', 'expense', 'time availability', 'time cost', 'cost availability', 'cost cost', 'cost', 'time', '', '']","['time and availability', 'expense and availability', 'availability and cost']"
