ID,text,label,score
2,other students need this help more than i do,NEGATIVE,0.6625626683235168
3,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
7,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
17,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
24,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
34,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
45,i don't want other people to see me and know that i am food insecure,NEGATIVE,0.9978811144828796
73,the location is inconvenient,NEGATIVE,0.9996395111083984
86,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
91,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
93,"i am not sure i am eligible to use the campus food pantry,other students need this help more than i do",NEGATIVE,0.9984540939331055
95,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
96,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
97,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
99,"i do not need assistance with obtaining food and household supplies,other students need this help more than i do",NEGATIVE,0.8721763491630554
101,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
103,other students need this help more than i do,NEGATIVE,0.6625626683235168
108,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
109,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
111,other students need this help more than i do,NEGATIVE,0.6625626683235168
115,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
127,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
134,other students need this help more than i do,NEGATIVE,0.6625626683235168
152,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
154,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
163,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
164,i am not sure i am eligible to use the campus food pantry,NEGATIVE,0.9988672733306885
176,i am not sure i am eligible to use the campus food pantry,NEGATIVE,0.9988672733306885
179,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
184,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
190,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
198,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
216,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
217,i don't want other people to see me and know that i am food insecure,NEGATIVE,0.9978811144828796
228,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
237,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
242,other students need this help more than i do,NEGATIVE,0.6625626683235168
243,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
260,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
266,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
276,other,N/A,0.0
285,"i am not sure i am eligible to use the campus food pantry,other",NEGATIVE,0.9990198612213135
286,other students need this help more than i do,NEGATIVE,0.6625626683235168
311,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
313,"the location is inconvenient,other",NEGATIVE,0.9993243217468262
330,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
333,other students need this help more than i do,NEGATIVE,0.6625626683235168
334,"other students need this help more than i do,i don't want other people to see me and know that i am food insecure",NEGATIVE,0.9861213564872742
355,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
358,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
363,other students need this help more than i do,NEGATIVE,0.6625626683235168
366,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
367,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
370,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
377,"other students need this help more than i do,i don't want other people to see me and know that i am food insecure",NEGATIVE,0.9861213564872742
380,"i am not sure i am eligible to use the campus food pantry,other students need this help more than i do,other",NEGATIVE,0.9986177682876587
388,other students need this help more than i do,NEGATIVE,0.6625626683235168
390,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
391,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
392,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
398,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
399,"i do not need assistance with obtaining food and household supplies,other students need this help more than i do",NEGATIVE,0.8721763491630554
400,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
403,i don't want other people to see me and know that i am food insecure,NEGATIVE,0.9978811144828796
404,"other students need this help more than i do,other",NEGATIVE,0.6610391139984131
408,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
410,"i visit another food pantry/food bank in my community,i am not sure i am eligible to use the campus food pantry,other students need this help more than i do,i don't want other people to see me and know that i am food insecure",NEGATIVE,0.9976256489753723
412,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
413,other,N/A,0.0
417,other students need this help more than i do,NEGATIVE,0.6625626683235168
422,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
438,"i do not need assistance with obtaining food and household supplies,other students need this help more than i do",NEGATIVE,0.8721763491630554
443,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
455,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
457,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
458,"i visit another food pantry/food bank in my community,i am not sure i am eligible to use the campus food pantry",NEGATIVE,0.9987855553627014
459,i do not need assistance with obtaining food and household supplies,NEGATIVE,0.9638599157333374
473,"i am not sure i am eligible to use the campus food pantry,other students need this help more than i do",NEGATIVE,0.9984540939331055
