Topic,Count,Name,Representation,Representative_Docs
-1,4,-1_insecure_know food insecure_food insecure_know,"['insecure', 'know food insecure', 'food insecure', 'know', 'know food', 'people', 'people know food', 'people know', 'want people know', 'want']","['i do not need assistance with obtaining food and household suppliesi do not want other people to see me and know that i am food insecure', 'i do not need assistance with obtaining food and household suppliesother students need this help more than i doi do not want other people to see me and know that i am food insecure', 'i do not need assistance with obtaining food and household suppliesother students need this help more than i doi do not want other people to see me and know that i am food insecure']"
0,896,0_supplies need assistance_household supplies need_supplies need_supplies,"['supplies need assistance', 'household supplies need', 'supplies need', 'supplies', 'food household supplies', 'household supplies', 'household', 'assistance obtaining food', 'assistance obtaining', 'assistance']","['i do not need assistance with obtaining food and household supplies', 'i do not need assistance with obtaining food and household supplies', 'i do not need assistance with obtaining food and household supplies']"
1,70,1_students need_students_students need help_need help,"['students need', 'students', 'students need help', 'need help', 'help', 'need', 'need help doother', 'help doother', 'doother', '']","['other students need this help more than i do', 'other students need this help more than i do', 'other students need this help more than i do']"
2,39,2_campus food pantry_pantry_food pantry_sure eligible,"['campus food pantry', 'pantry', 'food pantry', 'sure eligible', 'use campus food', 'sure', 'use', 'use campus', 'eligible', 'eligible use']","['i am not sure i am eligible to use the campus food pantry', 'i am not sure i am eligible to use the campus food pantry', 'i am not sure i am eligible to use the campus food pantry']"
3,30,3_food pantryother_pantryother_campus food pantryother_food pantryother students,"['food pantryother', 'pantryother', 'campus food pantryother', 'food pantryother students', 'pantryother students need', 'pantryother students', 'use campus', 'use', 'sure', 'use campus food']","['i am not sure i am eligible to use the campus food pantryother students need this help more than i do', 'i am not sure i am eligible to use the campus food pantryother students need this help more than i do', 'i am not sure i am eligible to use the campus food pantryother students need this help more than i do']"
4,28,4____,"['', '', '', '', '', '', '', '', '', '']","['other', 'other', 'other']"
5,23,5_food household suppliesother_household suppliesother_suppliesother_household,"['food household suppliesother', 'household suppliesother', 'suppliesother', 'household', 'need assistance', 'food household', 'assistance obtaining food', 'assistance obtaining', 'assistance', 'need assistance obtaining']","['i do not need assistance with obtaining food and household supplies', 'i do not need assistance with obtaining food and household supplies', 'i do not need assistance with obtaining food and household supplies']"
6,23,6_know food insecure_insecure_food insecure_people know food,"['know food insecure', 'insecure', 'food insecure', 'people know food', 'know food', 'people', 'people know', 'know', 'want people know', 'want']","['i do not want other people to see me and know that i am food insecure', 'i do not want other people to see me and know that i am food insecure', 'i do not want other people to see me and know that i am food insecure']"
7,23,7_suppliesother students need_suppliesother students_household suppliesother students_help need,"['suppliesother students need', 'suppliesother students', 'household suppliesother students', 'help need', 'need help need', 'help need assistance', 'household suppliesother', 'food household suppliesother', 'suppliesother', 'students']","['i do not need assistance with obtaining food and household suppliesother students need this help more than i do', 'i do not need assistance with obtaining food and household suppliesother students need this help more than i do', 'i do not need assistance with obtaining food and household suppliesother students need this help more than i do']"
8,22,8_food household supplies_supplies_household supplies_need assistance,"['food household supplies', 'supplies', 'household supplies', 'need assistance', 'household', 'assistance obtaining food', 'assistance obtaining', 'assistance', 'food household', 'need assistance obtaining']","['i do not need assistance with obtaining food and household supplies', 'i do not need assistance with obtaining food and household supplies', 'i do not need assistance with obtaining food and household supplies']"
9,17,9_campus_campus food_pantry_campus food pantry,"['campus', 'campus food', 'pantry', 'campus food pantry', 'food pantry', 'food', 'like selection offered', 'like', 'like selection', 'selection']","['the items available at the campus food pantry do not align with my dietary needs vegetarian vegan halal kosher etci am not sure i am eligible to use the campus food pantryother students need this help more than i do', 'the items available at the campus food pantry do not align with my dietary needs vegetarian vegan halal kosher etci am not sure i am eligible to use the campus food pantryother students need this help more than i do', 'the location is inconvenienti do not like the selection offered by the campus food pantrythe items available at the campus food pantry do not align with my dietary needs vegetarian vegan halal kosher etci am not sure i am eligible to use the campus food pantryother students need this help more than i do']"
10,17,10_help doi_help doi want_doi want people_doi,"['help doi', 'help doi want', 'doi want people', 'doi', 'doi want', 'need help doi', 'food pantryother students', 'pantryother students need', 'food pantryother', 'campus food pantryother']","['i am not sure i am eligible to use the campus food pantryother students need this help more than i doi do not want other people to see me and know that i am food insecure', 'i am not sure i am eligible to use the campus food pantryother students need this help more than i doi do not want other people to see me and know that i am food insecure', 'i am not sure i am eligible to use the campus food pantryother students need this help more than i doi do not want other people to see me and know that i am food insecure']"
11,15,11____,"['', '', '', '', '', '', '', '', '', '']","['other', 'other', 'other']"
12,15,12_location_location inconvenientother_inconvenientother_,"['location', 'location inconvenientother', 'inconvenientother', '', '', '', '', '', '', '']","['the location is inconvenient', 'the location is inconvenient', 'the location is inconvenient']"
13,14,13_household suppliesi_suppliesi_food household suppliesi_suppliesi sure,"['household suppliesi', 'suppliesi', 'food household suppliesi', 'suppliesi sure', 'household suppliesi sure', 'suppliesi sure eligible', 'sure eligible use', 'use campus', 'eligible', 'use']","['i do not need assistance with obtaining food and household suppliesi am not sure i am eligible to use the campus food pantry', 'i do not need assistance with obtaining food and household suppliesi am not sure i am eligible to use the campus food pantry', 'i do not need assistance with obtaining food and household suppliesi am not sure i am eligible to use the campus food pantry']"
14,13,14_help doi want_doi_doi want_doi want people,"['help doi want', 'doi', 'doi want', 'doi want people', 'need help doi', 'help doi', 'know food', 'people know', 'people', 'want people know']","['other students need this help more than i doi do not want other people to see me and know that i am food insecure', 'other students need this help more than i doi do not want other people to see me and know that i am food insecure', 'other students need this help more than i doi do not want other people to see me and know that i am food insecure']"
15,10,15_hours_hours operation campus_work_pantry work,"['hours', 'hours operation campus', 'work', 'pantry work', 'operation campus food', 'operation campus', 'operation', 'hours operation', 'food pantry work', 'campus food pantry']","['the hours of operation for the campus food pantry do not work for me', 'the hours of operation for the campus food pantry do not work for mei am not sure i am eligible to use the campus food pantry', 'the hours of operation for the campus food pantry do not work for mei am not sure i am eligible to use the campus food pantry']"
16,9,16_location_bank_visit food pantryfood_visit food,"['location', 'bank', 'visit food pantryfood', 'visit food', 'visit', 'pantryfood bank', 'pantryfood', 'food pantryfood bank', 'food pantryfood', 'inconvenienti']","['i visit another food pantryfood bank in my community', 'the location is inconvenienti visit another food pantryfood bank in my community', 'the location is inconvenienti visit another food pantryfood bank in my community']"
17,8,17_pantryi want_pantryi want people_food pantryi want_food pantryi,"['pantryi want', 'pantryi want people', 'food pantryi want', 'food pantryi', 'pantryi', 'campus food pantryi', 'want people know', 'want people', 'know food', 'know']","['i am not sure i am eligible to use the campus food pantryi do not want other people to see me and know that i am food insecure', 'i am not sure i am eligible to use the campus food pantryi do not want other people to see me and know that i am food insecure', 'i am not sure i am eligible to use the campus food pantryi do not want other people to see me and know that i am food insecure']"
