Topic,Count,Name,Representation,Representative_Docs
-1,367,-1_students_food_housing_provide,"['students', 'food', 'housing', 'provide', 'staff', 'pantry', 'food pantry', 'work', 'campus', 'community']","['if the school could apply for a grant or figure out some way to provide quality housing to students and even temporary housing for new faculty it would be a great benefit to the school. also, if there is a way to develop a cafeteria plan for students that is tied in with their tuition, students could have access to food security during their time at mesalands. faculty & staff could also benefit if they chose to.', 'increase pay to all employees, have more food pantry locations, have food pantry days for staff and faculty (there have been times i wanted to go but didn\'t want to be staff taking away from students). i don\'t think there\'s an ""emergency loan"" offered to staff (such as rust for students) but that would also be huge in covering unexpected payments between paychecks.', 'provide limited meal plans to all students, staff, and faculty. provide expanded meal plans and housing stipends to students, staff, and faculty who meet a need based requirement.']"
0,89,0_campus_food_food options_options,"['campus', 'food', 'food options', 'options', 'options campus', 'food campus', 'students', 'food students', 'meal', 'provide']","['offer affordable food options on campus.', 'more affordable, healthy food options on campus', 'have food options on campus']"
1,49,1_pantry_food pantry_food_unm,"['pantry', 'food pantry', 'food', 'unm', 'pantries', 'campus food', 'campus', 'think', 'students', 'food pantries']","[""unm's food pantry is a great option for the students, hopefully it will continue to be successful and can expand to also serve unm employees who need it. i think more advertisement/awareness of the panty is needed."", 'i think the food pantry is a great wait to address food insecurity, but i think we need to do more at cnm. i would love to see the food pantry grow to more- become a place where students, staff and faculty can go for clothing, furniture, assistance with apply for state/government assistance, legal and mental counseling, etc.', 'have a campus food pantry']"
2,39,2_campus_food_food options_campuses,"['campus', 'food', 'food options', 'campuses', 'healthy', 'unm', 'options', 'students', 'pantry campus', 'students work']","['more food pantries at varied locations, perhaps a cafeteria coupon program (i think unm valencia has started doing this), maybe partner with local restaurants for reduced food options for unm students?', 'more awareness of lobopantry - i became more aware of it during the pandemic. continue raising more visibility to faculty if resources to support students. consider how the fragmentation of information across jnmâ€™s website might lead to missed opportunities to support students. consider a ux designer consult for our website.', 'ditch fast food partners and heavily subsidize healthy food or quality local food vendors on campus. subsidize a healthy grocery coop on campus for produce and make prices affordable for students.']"
3,29,3_cafeteria_cafeteria open_cafe_discount,"['cafeteria', 'cafeteria open', 'cafe', 'discount', 'open', 'open cafeteria', 'cafeteria bring', 'company', 'cafe cafeteria', 'options cafeteria']","['have a cafeteria', 'have a cafeteria!!!', 'have a cafeteria.']"
4,29,4_faculty_pay_graduate_graduate students,"['faculty', 'pay', 'graduate', 'graduate students', 'living', 'wage', 'living wage', 'paid', 'better', 'change']","[""academic advisors deserve a yearly adjustment to their pay to help them live. if you want us to preform well doing our jobs, then make sure we don't have to worry about getting to and from work, food cost, and bills. the university could also retain more advisors if they were paid a living wage"", 'provide actual raises. the campus minimum was put at $15, but many people working here for nearly 10 years were given absolute shite ""adjustments"" when it happened and make barely over $16. employees never get more than a cost of living adjustment unless they change positions, and the cola\'s are often less than that year\'s inflation.', ""if it's possible, allow the full-time staff to either opt out of the retirement funding or change the percentage taken from their bi-weekly pay to a lesser amount so people can afford to work here at unm & live a substantial life. then once those who have reached the ability to afford to continue with the retirement deductions that person can change the percentage to the initial deductions.""]"
5,27,5_housing_campus housing_housing campus_student housing,"['housing', 'campus housing', 'housing campus', 'student housing', 'campus', 'housing faculty', 'student', 'dorm', 'mexico', 'new mexico']","['more campus housing', 'i believe that there needs to be rent control for all residents of new mexico and this will benefits, students and staff alike. how the university can do that is something that someone else needs to figure out.', 'the state of new mexico and its colleges might invest money to build affordable apartment housing near campuses to ease housing and transportation issues related to attending college; perhaps conduct a study on feasability of need/desire/cost of this']"
6,26,6_available food_food_available_healthy,"['available food', 'food', 'available', 'healthy', 'variety', 'food food', 'food offer', 'options available', 'food options', 'options']","['have more food options available.', 'provide more readily available and affordable options for healthy meals.', 'recognize there are people who have food allergies (gluten, soy, nuts, etc) that need to be able to access ""healthy for them"" foods']"
7,24,7_inflation_living_living wage_increase,"['inflation', 'living', 'living wage', 'increase', 'salaries', 'pay living', 'inflation pay', 'wage', 'pay', 'wages']","[""pay our annual salaries more fairly since we live in a tourist town and have to pay tourist prices for everything.  since we live here, i feel we should receive a discount based on our driver's license."", 'pay a living wage and provide annual raises at least in line with inflation.', 'raise salaries to meet inflation and pay a living wage']"
8,21,8_housing_provide housing_agencies_don,"['housing', 'provide housing', 'agencies', 'don', 'want', 'housing vouchers', 'affordable housing', 'provide', 'safe', 'assistance']","['it would be great if there were more housing vouchers available for temporary assistance/crisis momements', ""i don't think there is anything else that could be done that isn't being done in our rural setting.  housing is rough for those who want to buy out here.  it is harder for those who want to rent and worst for those who can't afford either option."", 'regular access to state/local agency staff who can help those in need apply and secure public assistance.']"
9,20,9_meals_hot_hot meals_provide,"['meals', 'hot', 'hot meals', 'provide', 'provide hot', 'meals provide', 'inexpensive', 'options provide', 'provide low', 'cost meals']","['support a food vendor with consistent hours of operation and in a way that food prices are relatively inexpensive and with at least some healthy options.', 'expand upon recent steps to supply hot meals for lunch', 'provide hot meals, at least once per day']"
10,20,10_housing_student_type_affordable,"['housing', 'student', 'type', 'affordable', 'student housing', 'rent', 'offer affordable', 'campus', 'housing campus', 'buy']","['perhaps provide access to a campus food pantry. offer discounts at local eateries and/or grocery stores. offer an affordable meal plan on campus through the cafe.  if possible, provide an emergency staff/faculty house fund to help with utility bills and/or rent.', 'it would probably help our students if they could have help with filling in paperwork for hud housing or other low income housing on campus. also, some help in filling in any type of applications that are hard to understand for any type of low income support.', 'a campus shelter of offers of temporary or emergency housing for students. offer limited free meals or have an easy work/food-housing exchange for students- i i worked 20 hours at week at a student job ($5.00 at the time- $200 every two weeks. my rent was 300 a month...']"
11,18,11_think_does_job think_good job,"['think', 'does', 'job think', 'good job', 'university doing', 'doing', 'good', 'university', 'job', 'think university']","['i think the university is doing a good job.', 'they have made active strides to provide for students. with the limited funding they receive from the state, it is hard to serve students and staff what they need. with grant assistance from the state, we could help solve food insecurity in rural areas such as this.', 'as usual, i wish faculty/staff were able to get more regular pay raises. i think this would help those who are in serious crises. otherwise, i think nmsu does what it can to help students and faculty/staff with the aggie cupboard and other resources.']"
12,18,12_increase_raise_pay increase_increase pay,"['increase', 'raise', 'pay increase', 'increase pay', 'salaries', 'salary increase', 'salary', 'raise salary', 'increase salaries', 'increase salary']","['increase pay', 'increase pay', 'increase pay']"
13,18,13_wages_graduate_lower_increase,"['wages', 'graduate', 'lower', 'increase', 'include', 'campus increase', 'options campus', 'employees', 'grad', 'faculty']","['increase the work-study wage and hour limits offered to students enrolled in work study programs, offer better wages for part-time and full-time staff and faculty employees. increase the housing dormitory opportunities to include students, staff, and faculty members who are married and/or have children and pets.', 'increase free or inexpensive food availability--both hot food and food pantries. increase salaries for lowest paid employees. include regular cost of living raises for employees. offer access to resources for single parents--a faculty income might be fine for one single person, but it is extremely difficult to raise a family on $55,000 a year, particularly while paying down student loans.', 'raise wages. across the board. living wages for grad students, research students, and post docs. higher wages for all staff. lower insurance costs. lower tuition costs. lower student housing costs. stop catering to ""business models"" and start treating the school as a public service.']"
14,18,14_doing_job_good job_job doing,"['doing', 'job', 'good job', 'job doing', 'think doing', 'doing great', 'great job', 'doing good', 'theyâ', 'theyâ doing']","['we are doing a good job', 'i think they are doing a great job', 'i think they are doing a great job.']"
15,17,15_pantry food_pantry_food pantry_provide pantry,"['pantry food', 'pantry', 'food pantry', 'provide pantry', 'pantry provide', 'accessible food', 'food', 'accessible', 'food options', 'perishable']","['food pantry', 'it has a food pantry.', 'a food pantry']"
16,16,16_pay_employees_pay employees_pay staff,"['pay', 'employees', 'pay employees', 'pay staff', 'insurance premiums', 'staff members', 'premiums pay', 'premiums', 'money', 'staff']","['give staff members a raise or pay a larger portion of health insurance premiums.', 'stop spending money on bullshit projects and feel good departments instead of allocating resources where they will help.  also cut down on the amount of over paid moronic chiefs instead of properly allocation resources to the people.', 'raise per diem rates for employees who travel, provide more food at events, more food pantries, gas cards or more work from home options to save gas/money, freeze health insurance premiums or pay more of the costs as employer']"
17,16,17_cheaper_affordable_housing_affordable options,"['cheaper', 'affordable', 'housing', 'affordable options', 'tuition', 'affordable housing', 'healthy', 'options healthy', 'options', 'campus']","['more affordable housing for students.  having more opportunities to offer nutritious foods free or at a discounted price so more students, starr, and faculty could afford them.', 'ensuring that students have affordable housing during breaks between the semesters, increasing food pantry awareness and accessibility, and potentially providing assistance for students who live off-campus.', 'provide affordable options, in terms of healthy food availability. provide student groups more funding to provide healthy meals during their meetings. housing, more inclusive options. closing the family housing site had a huge impact on families on campus.']"
18,16,18_adjuncts_pay adjuncts_adjunct_pay,"['adjuncts', 'pay adjuncts', 'adjunct', 'pay', 'adjuncts better', 'salary adjunct', 'tas', 'wage increase', 'adjuncts living', 'wage']","['pay adjuncts a living wage.', 'pay adjuncts more', 'pay adjuncts a living wage.']"
19,15,19_emails_word emails_word_getting word,"['emails', 'word emails', 'word', 'getting word', 'advertise', 'promote', 'getting', 'send', 'messages', 'sent']","['address the situation by leaving a comment box or tell someone.', 'put up flyers and send emails like the one that had this survey.', 'do more programs and keep getting the word out in emails, social media, text messages.']"
20,15,20_pay_wages increase_wages_pay higher,"['pay', 'wages increase', 'wages', 'pay higher', 'increase', 'salary', 'higher', 'increase salary', 'pay better', 'higher wages']","['petition the state to increase wages and salary.', 'pay higher wages.', 'pay higher hourly wages to make ends meet.']"
