Topic,Count,Name,Representation,Representative_Docs
-1,56,-1_help_hope_nm_thank,"['help', 'hope', 'nm', 'thank', 'need', 'things', 'say', 'health', 'don', 'high']","[""while i have had reliable housing in the last year, i have seen my brother and his family homeless twice in the last 3 years and recently helped them move when they were evicted. it's a heavy weight to carry even if it isn't you that is being evicted."", 'health insurance is very high and continues to grow each year.  i have reduced my level of health insurance due to this high cost.  it would be very helpful for the college to pay a higher amount for the health insurance.', 'it would be nice to have a space at campus where students can comfortably sit, eat and socialize. there is places they can sit but it is very sterile feeling. as a commuter college it is sometimes to have places like this for students that have to stay on campus all day before they have a ride back to their house.']"
0,53,0_pay_inflation_faculty_work,"['pay', 'inflation', 'faculty', 'work', 'employees', 'raise', 'health', 'time', 'salaries', 'adjunct']","[""when i first started as an adjunct instructor i wasn't allowed to teach more than 12hrs a week, so my take home salary was very low the first year. so low, i had to live with my parents the first year. then when we hired the new instructor, he got full-time employee pay right from the beginning, when i had to struggle my first year working for unm. it was really unfair."", ""when inflation hit, my rent, groceries, and utilities started going on credit cards.  with inflation still above 6% and faculty's 2022 raise at 4%, i am losing income by continuing to work at sfcc.  i'm sure any raise in 2023 will also mimic last year, being under 5% for faculty, and administrators will receive at least 10%, so that any legal requirements imposed can be met, such as a 7% average across the institution."", 'in one of the text boxes i explained this but i want to share it here so it is obvious. i\'m temporary part-time faculty but i\'m working over ""full-time"". i work more than a full-time employee (depending on the semester). this semester i\'m 108% employed. despite this insane amount of work, i make very little, worry about saving for retirement, don\'t have any job security, don\'t have reliable benefits, and feel my only option to make this work is to live with my parents and eat their food.']"
1,39,1_food_pantry_campus_food pantry,"['food', 'pantry', 'campus', 'food pantry', 'students', 'options', 'food options', 'healthy', 'cnm', 'need']","['our students need food options on our campus.', ""some students have indicated that the meal plan they pay for is problematic because they can't use it due to closing hours (many of them work) or that they don't find the food options worth what they pay. this leads them to pay for a meal plan because they are required to do so and still seek other food options, which are often less healthy since they can't cook in the dorms."", 'during the pandemic, several organizations (e.g., afsc) arranged to purchase produce from many small growers in albuquerque for distribution through food banks. could this model be extended to universities to support the consumption of healthy foods by student populations? in addition to paying service providers to run fast food restaurants on campus, could a portion of the budget be used to support local farmers and subsidize the cost of fresh produce on campuses?']"
2,35,2_students_campus_help_support,"['students', 'campus', 'help', 'support', 'housing', 'need', 'like', 'child care', 'child', 'care']","['much more needs to be done to help students, especially graduate students who are barely making ends meet. there should also be more and more secure/in better shape housing options in the town that houses the university so that more people feel comfortable choosing to live close to campus.', ""our motto is icare which couldn't be further from the truth.  administration tries to run the college like a business and only cares about the almighty $$$.  they are so anti-employee and anti-faculty which impacts the entire campus.  if they truly cared about our students, they would provide more food resources for our students and more assistance in other areas. when our students can't find housing, our student achievement center hands the student a piece of paper with numbers for apartment complexes.  if they cared, they would actually make phone calls, it would show they cared.  i also would like to see some temporary emergency housing offered for our students."", 'there is a lot of need among our students.  i have made down-payments for students to secure an apartment, given students money for food, to pay a phone bill, etc.  i have found that my male students experiencing food, house insecurity, or homelessness have less support than other students.']"
3,33,3_survey_thank_doing survey_survey thank,"['survey', 'thank', 'doing survey', 'survey thank', 'thank doing', 'doing', 'survey hope', 'conducting', 'thank conducting', 'thank survey']","['thank you for this survey.', 'thank you for doing this survey.', 'thank you for doing this survey!']"
4,12,4_housing_income_monthly_food,"['housing', 'income', 'monthly', 'food', 'expensive', 'secure', 'food housing', 'rent', 'living', 'care']","[""even though i didn't have food or housing insecurities in the past 12 months, i had to go frugal on my household utilities as the the monthly bill has doubled."", 'very high rent price and/or finding secure unit for low-income person. i have to pay more than 2/3 of my monthly income for the rent.', ""i am aware of various social programs, but i always seem to be just above the income level that can be served, yet my income doesn't really allow me to provide as well as i would like to when it comes to healthy food options and medical care.""]"
5,10,5_tired_jonen tired_jonen_don 121,"['tired', 'jonen tired', 'jonen', 'don 121', 'tired don', '121', 'don', '', '', '']","['too tired', 'jonen', '121']"
6,10,6_thank_research_doing_thank work,"['thank', 'research', 'doing', 'thank work', 'thanks', 'important', 'thank doing', 'work', 'thank researching', 'work important']","[""thank you for your work and dedication to this need in our community. please don't stop."", ""thank you for giving me the space to share some of this. it's been difficult and writing about this makes me feel better."", 'thank you for the work on this important research. i hope it ends up helping those who are truly in need.']"
7,8,7_thank thank_thank_thank good_good thank,"['thank thank', 'thank', 'thank good', 'good thank', 'thanks thank', 'thanks', 'good', '', '', '']","['thank you', 'thank you!', 'thank you']"
8,6,8_don_resources_cheap_planet,"['don', 'resources', 'cheap', 'planet', 'having', 'events', 'right', 'stop', 'problem', 'available']","['provide support or support groups for domestic violence and substance abuse and or co-dependency.', 'advertise more about having resources available. get the community involved too! include athletic events to run food drives, and present those available resources at games.', ""zoom events don't work. hr offers all of these stupid online programs that are a waste of energy. don't reward people with shit that isn't good for the planet. stop buying cheap swag that transforms into trash upon receipt. don't shop on amazon.  don't take athletes out for fast food on the road. look at the problem with a wide angle lens instead of putting a band-aid on systematic issues. giving people cheap food is less effective than exploring why they need it. our planet is overpopulated by idiots. stop having babies. the #1 ingredient in baby formula is corn syrup. this is the real problem; you'll never have a chance to get it right with a start like that.""]"
9,6,9_hope_better_grow healthily_future,"['hope', 'better', 'grow healthily', 'future', 'country', 'family friends', 'eat healthy', 'country stable', 'better look', 'better future']","['hope baby grow up healthily', 'i hope the country will be stable and pay more attention to our groups', 'i hope we can all eat healthy food and live in a safe house']"
10,5,10_new mexico_mexico_new_housing,"['new mexico', 'mexico', 'new', 'housing', 'state', 'resources', 'absolutely', 'mouth', 'rates dropouts', 'improvement']","['housing is miserable. how are folks expected to relocate here without adequate housing, or any kind of place to look. its a crap shoot and seems to be completely word of mouth.', 'i have been in nm for a little over a year, coming from a staunchly republican state to here has been a wonderful improvement to my overall wellbeing, due to the diverse supports and resources available in this state.', ""i would hope new mexico's government will consider help provide equitable resources to low income and rural areas. we are often neglected; food and housing insecurity leads to higher rates of dropouts and class failures.""]"
