Topic,Count,Name,Representation,Representative_Docs
-1,73,-1_poor_scarce_affordable_high,"['poor', 'scarce', 'affordable', 'high', 'expensive', 'price', 'selection', 'terrible', 'convenient', 'little high']","['the price is a little high.', 'basically a good deal still. quality has decreased in relation to covid and inflation.', 'poor selection and poor quality']"
0,840,0_food_campus_options_healthy,"['food', 'campus', 'options', 'healthy', 'cafeteria', 'available', 'students', 'eat', 'food campus', 'don']","['there could be more healthy options.', 'there are some healthy options', 'i bring my own food to campus']"
1,61,1_options_options options_need options_need,"['options', 'options options', 'need options', 'need', 'wish options', 'options wish', 'choices', 'wish', 'selection', 'choices need']","['need more options', 'need more options for everyone.', 'need more options']"
2,30,2_availability_available_available limited_somewhat,"['availability', 'available', 'available limited', 'somewhat', 'lacking', 'readily available', 'readily', 'hours', 'low', 'good']","['loss of availability during covid and was never replaced.', 'availability is great, prices are somewhat high.', 'extremely lacking. even when we have a vendor available, the location and hours are too inconvenient and the options are often lacking.']"
3,27,3_variety_variety variety_better variety_little variety,"['variety', 'variety variety', 'better variety', 'little variety', 'greater variety', 'wish variety', 'variety needed', 'needed wish', 'needs', 'greater']","['better variety is needed', 'there could be more variety', 'could have more and better variety.']"
4,26,4_good good_good_good fair_fair,"['good good', 'good', 'good fair', 'fair', 'avai good', 'fair great', 'avai', 'agree good', 'agree', 'fair good']","['good', 'good', 'good']"
5,23,5_better_getting better_improve_getting,"['better', 'getting better', 'improve', 'getting', 'improved', 'better getting', 'improve better', 'needs improve', 'needs', 'improved sucks']","['it is getting better', ""it's getting better"", ""it's getting better""]"
6,21,6_good_good itâ_think good_good good,"['good', 'good itâ', 'think good', 'good good', 'itâ', 'think', 'great', 'better little', 'decent satisfying', 'itâ incredibly']","['its good', 'its good', ""it's good""]"
7,20,7_expensive_expensive expensive_high expensive_pricey expensive,"['expensive', 'expensive expensive', 'high expensive', 'pricey expensive', 'costly issue', 'difficult justify', 'expensive generally', 'expensive difficult', 'expensive offered', 'cnm nice']","['it is expensive', 'it is very expensive.', 'expensive, but everywhere is.']"
8,19,8_expensive_expensive expensive_expensive affordable_sparse expensive,"['expensive', 'expensive expensive', 'expensive affordable', 'sparse expensive', 'expensive minimal', 'minimal expensive', 'inexpensive bit', 'okay better', 'pretty expensive', 'expensive sparse']","['expensive', 'expensive', 'rather expensive.']"
9,14,9_needed needed_positive thoughts_positive_thoughts,"['needed needed', 'positive thoughts', 'positive', 'thoughts', 'needed', 'necessary', 'awesome', 'help people', 'don run', 'awesome needed']","['it can relieve some of the pressure of life.', 'positive thoughts', 'positive thoughts']"
