Topic,Count,Name,Representation,Representative_Docs
-1,9,-1_household suppliesi sure_suppliesi sure eligible_suppliesi sure_food household suppliesi,"['household suppliesi sure', 'suppliesi sure eligible', 'suppliesi sure', 'food household suppliesi', 'household suppliesi', 'suppliesi', 'inconvenientother students', 'inconvenientother students need', 'location inconvenientother students', 'location inconvenientother']","['i do not need assistance with obtaining food and household suppliesi am not sure i am eligible to use the campus food pantry', 'i do not need assistance with obtaining food and household suppliesi am not sure i am eligible to use the campus food pantry', 'i do not need assistance with obtaining food and household suppliesi am not sure i am eligible to use the campus food pantry']"
0,853,0_food household_need assistance_need assistance obtaining_household,"['food household', 'need assistance', 'need assistance obtaining', 'household', 'obtaining food household', 'obtaining food', 'obtaining', 'assistance', 'assistance obtaining', 'assistance obtaining food']","['i do not need assistance with obtaining food and household supplies', 'i do not need assistance with obtaining food and household supplies', 'i do not need assistance with obtaining food and household supplies']"
1,160,1_students need_students_students need help_need help,"['students need', 'students', 'students need help', 'need help', 'help', 'need', 'need help doother', 'help doother', 'doother', '']","['other students need this help more than i do', 'other students need this help more than i do', 'other students need this help more than i do']"
2,88,2_pantry_campus food pantry_food pantry_use campus food,"['pantry', 'campus food pantry', 'food pantry', 'use campus food', 'eligible use campus', 'eligible use', 'eligible', 'sure', 'sure eligible', 'sure eligible use']","['i am not sure i am eligible to use the campus food pantry', 'i am not sure i am eligible to use the campus food pantry', 'i am not sure i am eligible to use the campus food pantry']"
3,48,3_food pantryother students_pantryother students need_pantryother students_campus food pantryother,"['food pantryother students', 'pantryother students need', 'pantryother students', 'campus food pantryother', 'food pantryother', 'pantryother', 'sure eligible', 'eligible use campus', 'use campus', 'sure']","['i am not sure i am eligible to use the campus food pantryother students need this help more than i do', 'i am not sure i am eligible to use the campus food pantryother students need this help more than i do', 'i am not sure i am eligible to use the campus food pantryother students need this help more than i do']"
4,47,4_suppliesother_household suppliesother_food household suppliesother_help need,"['suppliesother', 'household suppliesother', 'food household suppliesother', 'help need', 'help need assistance', 'need help need', 'help', 'students need help', 'students', 'students need']","['i do not need assistance with obtaining food and household suppliesother students need this help more than i do', 'i do not need assistance with obtaining food and household suppliesother students need this help more than i do', 'i do not need assistance with obtaining food and household suppliesother students need this help more than i do']"
5,44,5____,"['', '', '', '', '', '', '', '', '', '']","['other', 'other', 'other']"
6,42,6_insecure_know food insecure_food insecure_want people know,"['insecure', 'know food insecure', 'food insecure', 'want people know', 'people know food', 'people know', 'people', 'know food', 'know', 'want people']","['i do not want other people to see me and know that i am food insecure', 'i do not want other people to see me and know that i am food insecure', 'i do not want other people to see me and know that i am food insecure']"
7,36,7_help doi want_doi_doi want_doi want people,"['help doi want', 'doi', 'doi want', 'doi want people', 'need help doi', 'help doi', 'know food', 'people know', 'people', 'want people know']","['other students need this help more than i doi do not want other people to see me and know that i am food insecure', 'other students need this help more than i doi do not want other people to see me and know that i am food insecure', 'other students need this help more than i doi do not want other people to see me and know that i am food insecure']"
8,33,8_know_people know food_people know_people,"['know', 'people know food', 'people know', 'people', 'know food', 'want people', 'want people know', 'want', 'insecure', 'food insecure']","['i am not sure i am eligible to use the campus food pantryother students need this help more than i doi do not want other people to see me and know that i am food insecure', 'i am not sure i am eligible to use the campus food pantryother students need this help more than i doi do not want other people to see me and know that i am food insecure', 'i am not sure i am eligible to use the campus food pantryother students need this help more than i doi do not want other people to see me and know that i am food insecure']"
9,31,9____,"['', '', '', '', '', '', '', '', '', '']","['other', 'other', 'other']"
