Topic,Count,Name,Representation,Representative_Docs
-1,109,-1_work_worry_stress_let,"['work', 'worry', 'stress', 'let', 'feel', 'food', 'month', 'money', 'able', 'job']","['food and rent have increased over the year and it has taken a toll on me mentally because i have to worry about if i have enough money for both necessities for the month this constant worry is mentally draining and i feel more exhausted during my work days', 'right now i am not impacted i can pay our mortgage but i worry about losing my job in a recession i also realize funds are limited for home repairs etc also i am concerned about the issues that particularly sfcc students and adjunct faculty are facing it is obvious the reason that some of our students have left the college is because they had to leave santa fe and cannot afford to live here they often move to albuquerque or further away sometimes they can handle the commute but it interferes with their ability to even have a parttime job as gas prices rise they will not want to commute great distances to finish their degrees', 'i sometimes have to take leave because i do not have money for gas because i spent the last of my money on food from the dollar tree buying a couple of items to last a week or two when i am really in a pinch and have no extra money for food i do not take a lunch break because i have nothing to eat i usually work through lunch so i do not have to spend any additional money on lunch i will use that money for dinner i am also looking for a parttime job to generate additional funds so i would be working 1216 hour days if i secure a parttime job']"
0,94,0_hungry_eat_lunch_sometimes,"['hungry', 'eat', 'lunch', 'sometimes', 'often', 'tired', 'concentrate', 'focus', 'food', 'healthy']","['hungry', 'go b hungry to work', 'hungry at work']"
1,67,1____,"['', '', '', '', '', '', '', '', '', '']","['it is not', 'it is not', 'it is not']"
2,56,2_food housing_insecurity_housing_housing insecurity,"['food housing', 'insecurity', 'housing', 'housing insecurity', 'food', 'students', 'security', 'affect', 'work', 'food insecurity']","['i do not have food or housing insecurity so it does not affect my work', 'food or housing insecurity does not affect my workk', 'i do not have food or housing insecurity']"
3,41,3_home_housing_rent_living,"['home', 'housing', 'rent', 'living', 'afford', 'live', 'rental', 'expensive', 'income', 'cost']","['i currently live at home withy my parents special needs sibling older brother and two nieces food is expensive and i do not get paid enough to contribute which means often eating less or pulling from savings accounts to help contribute there is not enough housing in my community and the housing that is provided is unsafe or outrageously expensive making locals move elsewhere i would like to move out of my parents home but things are so expensive this all affects my work because it is added stress that i do not need', 'i am currently living in senior housing but now that i am working full time i will have to find new housing rents are so high i have been searching for a house but cannot find anything in my approval range that does not require major repairs i cannot afford i am very worried about finding affordable housing when i have to leave here anxietydepression when condos i thought i might be able to afford fell through because of huge repair costs i normally do not have anxietydepression', 'i was living with family for financial reasons but was forced to move out when it became dangerous during that time it was very difficult to focus at work because i was always worried about what was going to be waiting for me at home at this point i am in a better living situation but a worse financial one the rental property i was able to find is very expensive for how much i am making and i am currently the only employed person in the household']"
4,39,4_no no_no_yes_never,"['no no', 'no', 'yes', 'never', 'sure', '', '', '', '', '']","['no', 'no', 'no']"
5,38,5_does_moment_luckily_fortunately,"['does', 'moment', 'luckily', 'fortunately', 'does make', 'does really', 'blessed', 'thankfully', 'did', 'work does']","['does not', 'it does not', 'it does not']"
6,36,6_focus_lack_inability focus_hard focus,"['focus', 'lack', 'inability focus', 'hard focus', 'focus work', 'unable focus', 'work hard', 'inability', 'unable', 'feel']","['hard to focus', 'hard to focus', 'i cannot always focus at work i feel like i lag some days']"
7,34,7_worrying_bills_sometimes_money,"['worrying', 'bills', 'sometimes', 'money', 'pay', 'constantly', 'worry', 'focus', 'going', 'hard']","['you just worry about the week and how you are going to make it with the money you have after paying bills and helping my mother you have to think about how you are going to stretch your income until the next paycheck', 'the worry that i am not giving my kids enough becomes a mental obstacle and it is hard to focus on only work in difficult times i am constantly trying to come up with ideas to get us through the hard times', 'sometimes i cannot focus on work because i am working about how to pay bills and get food']"
8,31,8_no affect_affecting_affect_no,"['no affect', 'affecting', 'affect', 'no', 'affected', 'effecting', 'effect', 'does affect', 'does', 'matter']","['no affect', 'no affect', 'no affect']"
9,27,9_affect work_does affect work_affect_does affect,"['affect work', 'does affect work', 'affect', 'does affect', 'work does', 'work does affect', 'does', 'work', 'affect work does', 'affect work just']","['it does not affect my work', 'it does not affect my work', 'it does not affect my work']"
10,26,10_position_looking_paying_better,"['position', 'looking', 'paying', 'better', 'need', 'job', 'iâm', 'support', 'working', 'make']","['i love my job but i feel like i need to find employment outside of nmsu because the pay is not enough to live on and support my kids i can make more money elsewhere', 'i am unable to attend school to improve my salary in my position because i can not afford it the rising cost of everything rent food doctor visits gasoline has kept me from doing anything but working which affects my mental state and the quality of my work because iâm burned out', 'i am always looking for a better paying job i do not want to leavechange roles but i need to make more money to support my family']"
11,26,11_moment___,"['moment', '', '', '', '', '', '', '', '', '']","['not at all', 'not at all', 'at the moment not at all']"
